timestamp_ms,state,rawMoist,moist_pct,on_thresh,temp_c,humidity_pct,vpd_kpa,dht_ok,pump_on,water_raw,water_present
422178,WaterLoop,386,0.26,0.35,21.0,36.0,1.592,1,0,892,1
423176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,891,1
424176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,891,1
425176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,891,1
426176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,892,1
427176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,892,1
428176,PumpOn,386,0.26,0.35,21.0,36.0,1.592,0,1,892,1
429177,PumpOn,386,0.26,0.35,22.0,35.0,1.719,1,1,892,1
430176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
431176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
432176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
433176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
434176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
435176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
436177,PumpOn,386,0.26,0.35,22.0,35.0,1.719,1,1,891,1
437176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,890,1
438176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
439176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
440176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
441176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
442176,PumpOn,387,0.26,0.35,22.0,35.0,1.719,0,1,892,1
443177,PumpOn,386,0.26,0.35,22.0,35.0,1.719,1,1,891,1
444176,PumpOn,387,0.26,0.35,22.0,35.0,1.719,0,1,891,1
445176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
446176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
447176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
448176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
449176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
450177,PumpOn,387,0.26,0.35,22.0,35.0,1.719,1,1,891,1
451176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
452176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
453176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
454176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
455176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
456176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
457177,PumpOn,386,0.26,0.35,22.0,35.0,1.719,1,1,891,1
458176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
459176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,892,1
460176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
461176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
462176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
463176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
464177,PumpOn,386,0.26,0.35,22.0,35.0,1.719,1,1,891,1
465176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
466176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
467176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
468176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
469176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
470176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
471177,PumpOn,384,0.27,0.35,22.0,35.0,1.719,1,1,891,1
472176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
473176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
474176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
475176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
476176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
477176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
478177,PumpOn,385,0.27,0.35,22.0,35.0,1.719,1,1,891,1
479176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
480176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
481176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
482176,PumpOn,384,0.27,0.35,22.0,35.0,1.719,0,1,891,1
483176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
484176,PumpOn,385,0.27,0.35,22.0,35.0,1.719,0,1,891,1
485177,PumpOn,385,0.27,0.35,22.0,35.0,1.719,1,1,891,1
486176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
487176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
488176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
489176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
490176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
491176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
492177,PumpOn,387,0.26,0.35,22.0,35.0,1.719,1,1,891,1
493176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
494176,PumpOn,387,0.26,0.35,22.0,35.0,1.719,0,1,891,1
495176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
496176,PumpOn,386,0.26,0.35,22.0,35.0,1.719,0,1,891,1
